htv_languagelabel_dm.deviceid	htv_languagelabel_dm.v_b1	htv_languagelabel_dm.v_b2	htv_languagelabel_dm.v_b3	htv_languagelabel_dm.v_b4	htv_languagelabel_dm.v_b5	htv_languagelabel_dm.v_b6	htv_languagelabel_dm.v_b7	htv_languagelabel_dm.v_b8	htv_languagelabel_dm.v_b9	htv_languagelabel_dm.date_time
004903000003204019297C52593C36AE	0	1	0	0	0	0	0	0	0	20210901
004903FF001847800001748F1B108D54	0	0	0	0	0	0	0	0	1	20210901
005101FF00011810111160D21CA9B1E5	0	1	0	0	0	1	0	0	0	20210901
005801FF0001005005D300692D37D26F	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D283	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D294	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D2AA	1	0	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D2DB	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D2EE	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D300	1	0	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D34D	0	0	0	0	0	1	0	0	0	20210901
005801FF0001005005D300692D37D356	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D36E	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D376	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D379	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D37C	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D39B	1	0	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D39F	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D3AB	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D3D5	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D40F	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D41E	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D460	1	0	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D4A1	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D4AD	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D4C1	1	0	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D4D7	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D4DB	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D55D	1	0	0	0	0	1	0	0	0	20210901
005801FF0001005005D300692D37D62B	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D643	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D666	1	0	0	0	0	1	0	0	0	20210901
005801FF0001005005D300692D37D6D8	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D70E	1	0	0	0	0	0	0	0	0	20210901
